"","GSE91074_VEEV_vs_Control"
"105355",-0.0193
"105377",-0.434
"105387",0.201
"105418",-0.1598
"105428",-0.3069
"105439",-0.553766666666667
"105440",-0.2147
"105445",-0.574566666666667
"105446",-0.17
"105501",0.06935
"105513",-0.2099
"105594",0.0026
"105663",-0.3451
"105670",-0.1391
"105675",-0.11965
"105689",0.0239
"105727",-0.3023
"105732",-0.1174
"105734",-0.1008
"105782",-0.2494
"105785",-0.0163
"105833",-0.1684
"105835",-0.2131
"105837",0.1133
"105844",-0.0434
"105853",-0.6452
"105855",0.90805
"105859",-0.748766666666667
"105866",-0.123
"105886298",-0.2094
"105887",-0.0912
"106014",-0.4696
"106021",-0.0730666666666667
"106025",0.04415
"106039",-0.0395
"106042",-0.5813
"106052",0.09235
"106064",-0.2267
"106073",0.039
"106143",0.2295
"106200",-0.3408
"106205",0.7397
"106248",-0.12
"106264",-0.341933333333333
"106298",-0.0707
"106326",-0.0802
"106344",-0.1992
"106347",0.0779
"106369",-0.451333333333333
"106389",-0.1865
"106407",-0.1124
"106489",0.0236
"106504",0.0075
"106512",1.2173
"106522",-0.2941
"106529",-0.25555
"106564",-0.0101
"106565",-0.61255
"106572",-0.05605
"106582",-0.0635
"106583",-0.0341
"106618",-0.5864
"106628",0.2374
"106633",-0.4045
"106648",-0.6093
"106672",-0.0754
"106707",-0.4493
"106766",-0.1478
"106794",-0.2998
"106795",-0.0874
"106821",-0.1895
"106840",-0.0488
"106861",-0.714
"106869",0.7368
"106878",0.9426
"106894",-0.1302
"106931",-0.44475
"106947",-0.14585
"106952",0.0794
"106957",-0.1173
"107022",-0.0388
"107029",-0.085
"107035",-0.0038
"107045",0.2234
"107047",-0.28125
"107065",-0.2133
"107071",-0.019
"107094",0.1736
"107141",-0.0117
"107146",0.0101
"107197",-0.1512
"107227",-0.493
"107239",-0.5876
"107242",0.1774
"107250",-0.218
"107260",-0.2183
"107271",3e-04
"107272",-0.20745
"107305",-0.07565
"107321",2.6318
"107328",-0.5415
"107338",-0.0765
"107350",4.3802
"107358",-0.0945666666666667
"107371",-0.02565
"107373",1.3239
"107375",0.2765
"107392",0.2049
"107435",0.335
"107449",-0.3443
"107476",-0.1269
"107477",-0.217
"107503",0.8198
"107508",0.0987
"107513",0.223
"107526",2.328
"107527",-0.1889
"107528",-0.2219
"107566",-0.2603
"107568",-0.3324
"107569",1.3725
"107581",0.4526
"107586",-0.1358
"107587",-0.0207
"107589",0.0678
"107605",-0.0644
"107652",-0.05448
"107684",0.0982
"107686",0.0126
"107701",-0.04085
"107702",1.1222
"107723",-0.4818
"107732",-0.0422
"107733",-0.179333333333333
"107734",0.5064
"107746",-0.10065
"107747",0.967
"107753",-0.0955
"107765",-0.0234
"107766",0.0706
"107767",-0.4065
"107769",0.50975
"107770",-0.3071
"107771",-0.346
"107815",-0.1868
"107817",-0.14405
"107831",-0.4612
"107868",-0.1733
"107869",-0.1265
"107889",-0.04565
"107932",-0.1386
"107934",-0.4007
"107939",-0.0333
"107951",-0.018
"107970",-0.0636
"107971",-0.3055
"107975",-0.3708
"107976",-0.21435
"107986",-0.48395
"107995",-0.006364111
"107999",-0.0342
"108000",-0.106
"108012",-0.2485
"108013",-0.1719
"108014",-0.0025
"108015",-0.061
"108017",-0.1541
"108037",-0.035
"108043",-0.2108
"108052",1.07455
"108058",0.1587
"108062",-0.12995
"108075",-0.6215
"108077",-0.1663
"108078",0.1581
"108089",-0.1249
"108096",0.0165
"108098",0.1358
"108099",-0.3577
"108100",-0.232075
"108101",1.48573333333333
"108105",0.58785
"108114",-0.2422
"108116",0.3734
"108121",0.1847
"108123",-0.16055
"108124",-0.29205
"108138",-0.14785
"108143",-0.14
"108148",0.0899333333333333
"108150",0.1176
"108153",-0.0655
"108155",-0.3167
"108156",-0.1819
"108159",0.1345
"108160",0.03
"108161",-0.0893
"108167440",2.1371
"108167445",-0.0763
"108645",-0.4391
"108652",-0.0198
"108653",-0.28165
"108655",-0.426066666666667
"108657",0.3473
"108660",-0.1026
"108664",-0.0741
"108670",2.47303333333333
"108671",-0.1944
"108673",0.98915
"108679",-0.0253
"108682",-0.393166666666667
"108686",-0.0668
"108687",-1e-04
