"","GSE91074_VEEV_vs_Control"
"105418",-2.6978
"105428",-3.6816
"105439",-5.59446666666667
"105440",-1.3753
"105445",-7.25706666666667
"105446",-3.1457
"105501",1.4009
"105513",-4.0582
"105594",0.04755
"105663",-7.15385
"105670",-2.5435
"105675",-2.2774
"105689",0.6873
"105727",-2.8441
"105732",-2.0535
"105734",-2.0269
"105782",-4.7277
"105785",-0.2782
"105833",-2.3587
"105835",-3.7627
"105837",2.5881
"105844",-0.3684
"105853",-5.0225
"105855",9.38665
"105859",-6.45663333333333
"105866",-3.0123
"105886298",-3.5432
"105887",-1.8321
"106014",-7.738
"106021",-1.32873333333333
"106025",0.9374
"106039",-0.9214
"106042",-4.1109
"106052",0.87625
"106064",-4.1604
"106073",1.0569
"106143",6.031
"106200",-5.7128
"106205",15.3375
"106248",-2.1473
"106264",-7.9358
"106298",-1.5882
"106326",-1.5513
"106344",-3.2818
"106347",1.8021
"106369",-5.9937
"106389",-3.3478
"106407",-2.4433
"106489",0.6233
"106504",0.1447
"106512",10.4186
"106522",-4.5659
"106529",-4.15105
"106564",-0.3029
"106565",-7.14305
"106572",-0.6814
"106582",-1.1727
"106583",-0.7667
"106618",-7.7855
"106628",4.1595
"106633",-7.1236
"106648",-5.4654
"106672",-1.7937
"106707",-7.7769
"106766",-0.8038
"106794",-6.5511
"106795",-1.2963
"106821",-3.1849
"106840",-0.73365
"106861",-6.3038
"106869",5.3107
"106878",10.3665
"106894",-2.7942
"106931",-4.66245
"106947",-2.50315
"106952",1.0743
"106957",-1.803
"107022",-0.99695
"107029",-1.10045
"107035",-0.1076
"107045",5.4539
"107047",-5.3806
"107065",-2.9486
"107071",-0.4196
"107094",2.7409
"107141",-0.2399
"107146",0.3184
"107197",-2.0429
"107227",-9.0938
"107239",-5.68
"107242",4.369
"107250",-2.9136
"107260",-4.70785
"107271",0.0081
"107272",-2.1311
"107305",-1.58335
"107321",19.7525
"107328",-7.8664
"107338",-1.90435
"107350",70.6475
"107358",-1.6825
"107371",-0.5487
"107373",12.8738
"107375",3.8645
"107392",2.9513
"107435",5.9539
"107449",-3.9051
"107476",-1.7551
"107477",-4.3797
"107503",9.4962
"107508",2.0944
"107513",2.98356666666667
"107526",14.15395
"107527",-2.052
"107528",-4.1223
"107566",-4.5174
"107568",-4.4219
"107569",18.7243
"107581",3.965
"107586",-0.9085
"107587",-0.4663
"107589",1.2676
"107605",-1.0775
"107652",-0.82384
"107684",1.0684
"107686",0.3563
"107701",-0.6759
"107702",12.9922
"107723",-10.51515
"107732",-0.5897
"107733",-4.114
"107734",10.5618
"107746",-1.98355
"107747",15.213
"107753",-1.99805
"107765",-0.57065
"107766",0.969
"107767",-8.1715
"107769",10.3934
"107770",-4.9064
"107771",-5.2611
"107815",-3.4627
"107817",-3.04485
"107831",-5.7132
"107868",-2.4437
"107869",-1.3167
"107889",-1.03505
"107932",-1.74766666666667
"107934",-4.706
"107939",-0.8398
"107951",-0.4234
"107970",-1.3441
"107971",-5.1667
"107975",-5.7221
"107976",-2.57335
"107986",-6.52955
"107995",-0.119966666666667
"107999",-0.7335
"108000",-1.85505
"108012",-1.407
"108013",-3.58613333333333
"108014",-0.0508
"108015",-1.5416
"108017",-3.7339
"108037",-0.685075
"108043",-3.3447
"108052",11.86775
"108058",1.9212
"108062",-2.90885
"108075",-8.6666
"108077",-2.5664
"108078",2.6442
"108089",-2.1916
"108096",0.3012
"108098",2.1052
"108099",-4.51783333333333
"108100",-2.01855
"108101",13.4465666666667
"108105",2.39165
"108114",-4.151
"108116",5.48826666666667
"108121",4.0779
"108123",-3.45845
"108124",-5.2536
"108138",-2.8979
"108143",-3.32695
"108148",1.3848
"108150",1.03206666666667
"108153",-1.2875
"108155",-6.71015
"108156",-3.93875
"108159",3.1233
"108160",0.598
"108161",-1.4991
"108167440",18.7205
"108167445",-1.4183
"108645",-5.5364
"108652",-0.4544
"108653",-3.128525
"108655",-3.71028333333333
"108657",8.1406
"108660",-2.72803333333333
"108664",-1.3994
"108670",22.2138333333333
"108671",-3.5351
"108673",13.1117
"108679",-0.6991
"108682",-6.83993333333333
"108686",-1.3272
"108687",-0.0023
"108699",-4.9046
"108705",4.5894
"108707",-2.7413
"108735",2.7558
"108737",-4.063
"108755",-1.4286
"108760",-2.8354
"108767",-2.3784
"108829",-0.2156
"108837",-0.49745
"108841",-7.7642
"108857",-1.5165
"108888",-4.88785
"108897",-4.5484
"108902",-11.4176
"108903",1.07175
"108907",4.0944
"108909",20.84285
"108911",1.548
"108943",-3.59995
"108946",-2.1572
"108954",5.204
"108958",-5.1125
"108961",2.4799
"108989",1.0573
"109006",-1.02355
"109019",5.505
"109032",4.11103333333333
"109042",7.5694
"109052",-0.99
"109075",-0.3194
"109077",0.983033333333333
"109079",-3.4571
"109093",-4.5333
"109095",-8.6415
"109108",-8.2891
"109129",-0.2511
"109135",-1.0801
"109136",-8.0534
"109145",-1.5443
"109154",-5.2641
"109168",2.3953
"109205",-5.4885
"109212",-3.3893
"109225",14.152
"109229",-3.65025
"109232",0.0405
"109246",-1.9572
"109254",-0.5384
"109263",-2.2011
"109270",-2.6884
"109299",-4.6785
"109305",5.52785
"109331",-1.6988
"109552",0.2064
"109594",1.0793
"109620",-3.28516666666667
"109624",-1.62276666666667
"109637",-3.2589
"109648",1.5061
"109652",-3.5106
"109660",3.0513
"109672",-4.3379
"109674",-6.17515
"109685",-2.1055
"109689",-9.9973
"109697",-0.8939
"109711",1.5325
"109754",1.60983333333333
"109778",-0.691
"109791",-1.7063
"109801",-5.24686666666667
"109815",2.81086666666667
"109820",-2.0438
"109821",0.1261
"109857",-1.3755
"109880",-0.312
"109889",-3.0149
"109900",-3.3538
"109901",5.9568
"109904",-3.8188
"109905",-0.59815
"109910",-3.3472
"109929",-2.46
"109934",-1.6734
"109978",-0.096
"109979",3.8098
"110006",2.3942
"110012",-0.6342
"110033",-0.520666666666667
"110052",9.3527
"110058",-2.1124
"110074",-8.26005
"110078",-3.3732
"110082",-0.7489
"110084",-1.2525
"110094",1.2872
"110095",1.6228
"110109",2.8629
"110119",-2.4862
"110135",1.681
"110147",-7.033
"110157",1.7493
"110172",4.1543
"110173",-5.089
"110175",-0.1655
"110196",1.5701
"110197",-1.2338
"110198",-5.14405
"110208",11.6837333333333
"110213",11.5512
"110253",9.6255
"110265",-1.8312
"110279",0.5297
"110304",0.6354
"110308",-1.6061
"110310",-1.582
"110323",-3.586
"110326",-1.4992
"110351",-3.1991
"110355",-1.9625
"110379",5.7803
"110382",-1.8324
"110391",-6.61475
"110417",-0.1742
"110446",-1.14846666666667
"110454",14.4908
"110460",-3.4536
"110521",-5.5431
"110524",-3.4485
"110532",-4.7394
"110542",-1.8906
"110595",-2.61953333333333
"110596",-3.87695
"110606",-2.9085
"110611",3.0592
"110639",-2.6721
"110648",-1.3814
"110651",2.03126666666667
"110695",-3.1876
"110749",1.2837
"110750",-3.0441
"110751",-2.2192
"110789",-4.0016
"110796",-4.7891
"110809",-0.9048
"110816",-3.6018
"110821",-2.7218
"110826",-3.3642
"110829",5.16746666666667
"110834",0.12165
"110835",1.2618
"110842",-0.359
"110854",-2.61263333333333
"110855",-0.8878
"110876",-3.88815
"110877",-1.8534
"110880",-1.9772
"110891",-4.5989
"110893",-3.0241
"110902",-1.8335
"110911",-0.52794
"110935",-1.6462
"110948",-5.6663
"110956",15.62075
"110957",-0.9358
"110958",-2.0047
"110959",0.0775
"110960",4.4602
"110962",-2.7365
"111173",-2.66836666666667
"111174",-0.2848
"111175",-1.59845
"111970",-7.1536
"111975",-1.0435
"112403",0.9708
"112405",-5.49285
"112406",-2.0149
"112407",1.37175
"112417",0.2304
"112418",-1.2708
"11287",-2.0801
"11298",-5.1607
"11302",-8.1494
"11303",1.411
"11304",-5.0287
"11305",-4.6196
"11306",-1.49515
"11307",2.5071
"11308",-3.596
"11350",-6.0209
"11363",8.0532
"11364",-12.0569
"11370",-0.0398
"113846",-0.4608
