"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100303741",0.2376,-0.0827
"100310872",0.0316,-0.0367
"100316689",-0.1055,0.0286
"100316700",-0.2842,-0.2054
"100317",-0.00755,-0.01565
"100328574",0.1208,0.1671
"100329140",0.0505,0.17
"100336",-0.02605,-0.03895
"100340",-0.0542,-0.0491
"100342",-0.0361,0.0791
"100379143",0.0112,0.0466
"100379606",-0.0916,-0.0463
"100379608",-0.0957,0.0649
"100379609",-0.0328,-0.0709
"100379610",-0.025,-0.1077
"100379665",-0.05855,0.0515
"100380944",0.2437,0.1314
"100381257",-0.192,-0.1933
"100382",-0.0112,0.0382333333333333
"100383",-0.08835,-0.10475
"100415785",0.1337,-0.0435
"100415901",-0.0151,-0.0103
"100416145",0.0383,0.0305
"100416706",0.0599,0.067
"100416830",-0.2299,-0.0865
"100417514",-0.0933,-0.0103
"100417675",-0.166,-0.046
"100434",-0.0371,-0.0813
"100463519",0.0765,0.0407
"100465",-0.02425,-0.09685
"100470",-0.0129,0.0345
"100473",0.0934,0.0829
"100494",-0.2446,-0.132866666666667
"100502590",-0.0377,0.0465
"100502602",-0.0587,0.009
"100502619",-0.0315,-0.01695
"100502624",-0.175,-0.0086
"100502679",-0.0592,0.0302
"100502694",-0.0258,0.0658
"100502695",-0.1845,0.0578
"100502698",-0.069,-0.088
"100502700",0.0029,0.1633
"100502723",-0.0651,-0.0807
"100502736",-0.0051,-0.0857
"100502739",0.0505,0.0863
"100502742",0.022,0.0894
"100502745",0.0975,0.0956
"100502820",-0.0534,-0.0601
"100502829",0.3106,0.0356
"100502834",0.1058,0.0424
"100502841",-0.0849,-0.1193
"100502861",-0.046,-0.0943
"100502888",0.0879,0.051
"100502917",0.0845,0.0947
"100502923",-0.0996,-0.0515
"100502931",0.0849,0.0737
"100502933",-0.1257,0.0925
"100502936",0.00385,-0.03555
"100502942",-0.0872,0.0154
"100502950",-0.0584,-0.0324
"100502982",0.03755,-0.0539
"100503007",-0.1952,-0.1723
"100503019",0.1673,-0.0394
"100503043",-0.0151,0.1469
"100503044",-0.12115,0.1006
"100503120",-0.0959,0.0151
"100503142",0.5386,0.385
"100503166",0.0246,0.0755
"100503167",-0.0105,-0.0025
"100503178",0.20525,0.0707
"100503185",0.0434666666666667,0.0755333333333333
"100503197",-0.0377,0.053
"100503199",-0.0054,-0.0323
"100503265",-0.0472,-0.0602
"100503289",-0.1042,-0.0696
"100503307",0.0528,0.146
"100503311",0.052,0.1146
"100503337",0.0077,-0.1864
"100503359",-0.1483,-0.2283
"100503380",0.1053,0.1188
"100503386",-0.0347,-0.0346
"100503392",0.0108,0.203
"100503447",0.2167,0.1356
"100503470",-0.2143,-0.0682
"100503471",0.2227,0.0436
"100503474",-0.0261,-0.0058
"100503481",-0.1463,-0.0999
"100503490",0.1098,0.0673
"100503495",0.1406,0.0481
"100503518",-0.0207,0.039
"100503538",-0.0341,-0.091
"100503546",-0.0989,-0.0519
"100503572",-0.1402,-0.04425
"100503582",-0.0083,-0.0267
"100503594",0.0315,0.074
"100503622",0.0746,-0.0301
"100503652",-0.1257,0.2651
"100503659",-0.02255,-0.08415
"100503661",0.0458,-0.0345
"100503670",0.006,0.00135
"100503676",-0.0387,-0.0152
"100503727",-0.0263,0.0535
"100503759",-0.0123,0.0717
"100503783",0.1346,-0.1909
"100503797",0.072,0.0338
"100503802",0.1243,0.2091
"100503812",-0.2119,-0.0754
"100503827",0.0659,0.1103
"100503842",0.0485,-0.0014
"100503849",0.2278,0.1037
"100503859",-0.0211,0.1007
"100503868",-0.1867,-0.1755
"100503869",-0.0322,-0.195
"100503882",0.0338,0.082
"100503884",0.0824,0.0711
"100503890",-0.00725,-0.03555
"100503895",-0.2233,-0.0554
"100503915",-0.1169,0.2576
"100503924",0.046,0.0573
"100503961",-0.1713,-0.0655
"100503969",0.0032,-0.0393
"100504029",0.0501,-0.1098
"100504061",-0.01335,0.10565
"100504116",0.3057,0.10215
"100504121",0.0387,-0.0023
"100504141",-0.1404,-0.0689
"100504145",-0.0062,0.1104
"100504154",0.2248,0.299
"100504156",0.0075,0.0758
"100504162",-0.0894,-0.0456
"100504164",0.0238,-0.076
"100504166",0.0509,0.0683
"100504221",-0.3538,-0.0404
"100504229",-0.0255,0.0193
"100504231",0.1341,-0.1158
"100504255",-0.1098,-0.1602
"100504268",0.0599,0.1064
"100504304",-0.0859,-0.0302
"100504309",-0.0147,-0.0311
"100504312",-0.032,-0.047
"100504350",0.004,0.0611
"100504377",0.1969,0.3896
"100504389",-0.1197,-0.1194
"100504404",-0.06235,-0.03925
"100504412",0.0176,8e-04
"100504421",-0.1296,-0.124
"100504446",-0.1593,-0.0892
"100504454",0.1704,0.0234
"100504455",-0.0714,0.0127
"100504457",-0.0618,-0.0384
"100504461",-0.1033,-0.2802
"100504464",0.061,0.0091
"100504474",0.0686,0.1506
"100504486",-0.0148,0.1051
"100504497",-0.2792,-0.2464
"100504512",0.1665,0.1551
"100504538",0.1113,-0.0165
"100504549",-0.1757,2e-04
"100504561",0.0788,0.0138
"100504586",0.066,0.1069
"100504594",0.0596,-0.003
"100504626",-0.1022,-0.0805
"100504628",0.0411,-0.1352
"100504637",0.03,0.0382
"100504663",0.0356,0.0298
"100504687",0.0391,0.1214
"100504714",-0.0427,-0.0059
"100504715",0.08515,0.0253
"100504734",0.0326,0.0349
"100504740",0.0719,0.0966
"100515",-0.03995,0.0244
"100526796",-0.0639,0.0038
"100532",0.01205,-0.094
"100532730",0.1433,0.0495
"100534641",-0.0754,-0.0778
"100559",-0.0134,-0.0747
"100561",0.0224,0.0098
"100604",0.0801,-0.2072
"100608",-0.068675,-0.05605
"100609",-0.10435,-0.09735
"100616095",-0.0977,-0.0989
"100637",-0.0453,0.0352
"100647",-0.2727,-0.1977
"100653389",0.1651,0.1238
"100675",0.0107,-0.0752
