"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100302648",-0.3275,0.4767
"100302688",-2.3731,-0.4617
"100303741",1.5337,-0.534
"100310872",0.2299,-0.2668
"100316689",-0.6661,0.1806
"100316700",-1.7301,-1.2505
"100317",-0.08965,-0.143
"100328574",0.7635,1.0562
"100329140",0.4072,1.3716
"100336",-0.17785,-0.3014
"100340",-0.4345,-0.3933
"100342",-0.3013,0.6597
"100379143",0.0763,0.3179
"100379606",-1.8371,-0.9279
"100379608",-0.9028,0.6129
"100379609",-0.213,-0.4608
"100379610",-0.1621,-0.6997
"100379665",-0.52915,0.35455
"100380944",1.3198,0.7115
"100381257",-1.6988,-1.711
"100382",-0.384933333333333,-0.129566666666667
"100383",-1.20045,-1.4856
"100415785",4.91,-1.5957
"100415901",-0.1556,-0.106
"100416145",0.2889,0.2303
"100416706",0.8439,1.41465
"100416830",-1.4018,-0.5276
"100417514",-0.4752,-0.0524
"100417675",-2.4036,-0.6668
"100434",-0.2609,-0.5722
"100463519",0.5621,0.299
"100465",-0.3985,-1.0214
"100470",-0.1242,0.3314
"100473",1.8615,1.6524
"100494",-2.22686666666667,-1.44936666666667
"100502590",-0.2918,0.3599
"100502602",-0.4929,0.0752
"100502619",-0.27775,-0.13255
"100502624",-0.988,-0.0488
"100502679",-0.6764,0.3446
"100502694",-0.4141,1.0563
"100502695",-2.0734,0.6493
"100502698",-1.3316,-1.6982
"100502700",0.0272,1.5151
"100502723",-0.6828,-0.8469
"100502736",-0.0247,-0.4184
"100502739",0.4614,0.7889
"100502742",0.216,0.8792
"100502745",0.7919,0.7762
"100502820",-0.4383,-0.4928
"100502829",4.6465,0.5332
"100502834",0.4386,0.1757
"100502841",-1.1005,-1.547
"100502861",-0.2872,-0.588
"100502888",0.6693,0.388
"100502917",0.8092,0.9071
"100502923",-1.0744,-0.5556
"100502931",0.7847,0.6812
"100502933",-0.9527,0.7006
"100502936",0.04565,-0.4485
"100502942",-0.8978,0.1586
"100502950",-0.899,-0.4988
"100502982",0.29505,-0.36785
"100503007",-1.5002,-1.3244
"100503019",1.4076,-0.3318
"100503043",-0.2102,2.0487
"100503044",-1.45655,1.5534
"100503120",-0.8269,0.1304
"100503142",2.7261,1.9489
"100503166",0.2974,0.9135
"100503167",-0.1156,-0.0272
"100503178",1.9595,0.6038
"100503185",-0.0265,0.0615333333333333
"100503197",-0.2989,0.42
"100503199",-0.0515,-0.306
"100503265",-0.6253,-0.7973
"100503289",-1.4357,-0.9593
"100503307",0.423,1.1695
"100503311",0.3718,0.8198
"100503337",0.0325,-0.782
"100503359",-1.5507,-2.3872
"100503380",0.7037,0.7939
"100503386",-0.4515,-0.4497
"100503392",0.1334,2.506
"100503447",1.5147,0.9477
"100503470",-1.2584,-0.4005
"100503471",0.7719,0.1512
"100503474",-0.161,-0.0359
"100503481",-1.989,-1.3586
"100503490",0.8632,0.5291
"100503495",1.3003,0.4444
"100503518",-0.124,0.2336
"100503538",-0.3297,-0.8812
"100503546",-1.7179,-0.9022
"100503572",-1.47505,-0.41455
"100503582",-0.1209,-0.3867
"100503594",0.2668,0.6264
"100503622",0.7094,-0.2857
"100503652",-0.9687,2.044
"100503659",-0.15715,-0.7351
"100503661",0.4664,-0.3512
"100503670",0.06365,-0.0523
"100503676",-0.2338,-0.0918
"100503727",-0.3693,0.7515
"100503759",-0.1204,0.7042
"100503783",0.6012,-0.8528
"100503797",0.7521,0.3535
"100503802",1.0438,1.7562
"100503812",-1.9751,-0.7023
"100503827",0.8278,1.3852
"100503842",0.21845,-0.1057
"100503849",1.2746,0.5804
"100503859",-0.1438,0.6863
"100503868",-0.7521,-0.7071
"100503869",-0.1924,-1.1652
"100503882",0.3827,0.9288
"100503884",0.9028,0.7798
"100503890",-0.1766,-0.3416
"100503895",-1.4134,-0.3508
"100503915",-1.7628,3.8823
"100503924",0.3619,0.4505
"100503961",-1.6291,-0.6234
"100503969",0.0223,-0.2762
"100504029",0.2559,-0.561
"100504061",-0.1183,0.95835
"100504116",1.676,0.4131
"100504121",0.2222,-0.0135
"100504141",-0.7306,-0.3586
"100504145",-0.0505,0.8972
"100504154",1.9854,2.6407
"100504156",0.0431,0.4367
"100504162",-0.779,-0.3974
"100504164",0.2211,-0.7063
"100504166",0.5973,0.8019
"100504221",-2.3742,-0.2708
"100504229",-0.2089,0.1581
"100504231",0.9682,-0.8363
"100504255",-1.5406,-2.2476
"100504268",0.6703,1.1917
"100504304",-0.9038,-0.3176
"100504309",-0.1557,-0.3302
"100504312",-0.3405,-0.5007
"100504350",0.0257,0.3957
"100504377",1.2503,2.4741
"100504389",-0.7259,-0.7242
"100504404",-0.3434,-0.19895
"100504412",0.1144,0.0055
"100504421",-0.8156,-0.7807
"100504446",-1.4566,-0.816
"100504454",1.9278,0.2642
"100504455",-0.6832,0.1219
"100504457",-0.6779,-0.4219
"100504461",-1.3729,-3.7246
"100504464",0.5835,0.0869
"100504474",0.7004,1.5376
"100504486",-0.0701,0.4973
