"","GSE30577_Rabies_vs_Control"
"101434",-1.3736
"101437",-0.73
"101471",0.6234
"101476",0.703
"101488",2.5807
"101489",-0.780433333333333
"101490",-1.5576
"101497",1.31835
"101502",3.9133
"101533",-0.6925
"101540",3.7909
"101543",-0.6617
"101568",-0.0976
"101592",0.2376
"101602",4.5966
"101604",-0.1398
"101612",0.40115
"101613",1.20365
"101685",2.4557
"101694",1.2396
"101700",-2.3526
"101706",0.7436
"101739",0.3483
"101744",-0.7003
"101786",1.9421
"101809",-3.0616
"101831",2.5939
"101861",0.6686
"101867",-3.164
"101869",1.5466
"101883",-0.4208
"101943",1.2663
"101966",-0.8953
"101985",2.1437
"101994",0.0595
"102022",-1.2536
"102032",-3.8347
"102060",-0.9252
"102093",-1.3862
"102103",1.36546666666667
"102115",-1.0723
"102122",-0.3972
"102124",-0.6612
"102162",0.081
"102182",0.2186
"102193",-2.57205
"102209",0.3423
"102247",-0.52275
"102294",2.4456
"102334",-0.5726
"102339",-0.0722
"102414",-1.797
"102423",2.24945
"102442",0.0487
"102443350",0.7432
"102448",0.335
"102545",2.7099
"102566",1.34415
"102570",-1.0851
"102580",1.7144
"102595",1.80155
"102607",-1.5714
"102626",3.7199
"102631513",-1.7689
"102631572",0.8625
"102631696",1.2101
"102631730",-1.1651
"102631739",-0.9909
"102631757",1.1131
"102631780",0.2624
"102631889",-0.7665
"102631912",-0.6987
"102631925",-1.5934
"102631939",-3.4107
"102632008",-3.0489
"102632031",1.1977
"102632039",1.7429
"102632051",2.2297
"102632273",-0.4589
"102632436",0.9766
"102632514",1.8809
"102632645",-1.6938
"102632853",-0.8487
"102632893",-0.4336
"102632947",0.8132
"102633000",3.5115
"102633112",0.1093
"102633146",1.2166
"102633167",2.7328
"102633266",0.7833
"102633271",0.6329
"102633312",-0.7738
"102633345",0.5599
"102633371",2.7738
"102633419",0.4414
"102633458",1.4069
"102633540",-0.8543
"102633544",-1.3122
"102633576",0.2979
"102633705",-0.3577
"102633805",0.6601
