"","GSE30577_Rabies_vs_Control"
"101437",-0.425
"101471",0.509
"101476",1.34925
"101488",2.9219
"101489",-0.508066666666667
"101490",-1.3363
"101497",1.3686
"101502",6.4557
"101533",-0.6414
"101540",6.721
"101543",-0.4885
"101568",-0.1137
"101592",0.127
"101602",6.9776
"101604",-0.1925
"101612",0.73905
"101613",1.1289
"101685",3.40165
"101694",1.3088
"101700",-1.5061
"101706",0.3262
"101739",0.2239
"101744",-0.8621
"101786",1.3212
"101809",-2.2792
"101831",3.6394
"101861",0.9296
"101867",-2.0344
"101869",1.7451
"101883",-0.2737
"101943",0.7005
"101966",-0.8206
"101985",3.2967
"101994",0.0338
"102022",-0.7895
"102032",-3.0841
"102060",-0.5364
"102093",-0.81405
"102103",1.82236666666667
"102115",-0.8036
"102122",-0.3947
"102124",-0.46875
"102162",0.22175
"102182",0.2819
"102193",-1.5303
"102209",0.3759
"102247",-0.3097
"102294",2.8157
"102334",-0.3771
"102339",-0.04165
"102414",-1.0713
"102423",2.6952
"102442",0.0357
"102443350",0.6616
"102448",0.09215
"102545",2.9502
"102566",1.23385
"102570",-0.5787
"102580",0.9096
"102595",2.79895
"102607",-0.9667
"102626",4.0661
"102631513",-1.3029
"102631572",0.7284
"102631696",0.7232
"102631730",-0.6582
"102631739",-0.6967
"102631757",0.6973
"102631780",0.2416
"102631889",-0.4021
"102631912",-0.7037
"102631925",-1.2
"102631939",-2.1099
"102632008",-1.8579
"102632031",0.7318
"102632039",1.1814
"102632051",0.8513
"102632273",-0.3841
"102632436",1.1916
"102632514",1.0198
"102632645",-1.1358
"102632853",-0.6189
"102632893",-0.2019
"102632947",0.5647
"102633000",4.0046
"102633112",0.0797
"102633146",0.7907
"102633167",1.6427
"102633266",0.5182
"102633271",0.4457
"102633312",-0.6514
"102633345",0.2817
"102633371",1.3919
"102633419",0.4258
"102633458",0.9309
"102633540",-0.8429
"102633544",-0.7594
"102633576",0.2256
"102633705",-0.3535
"102633805",0.8137
"102633867",1.2609
"102633872",1.0963
"102633880",-1.9064
"102634061",0.3932
"102634096",-1.4179
"102634128",-0.0235
"102634431",1.2892
"102634456",-0.1305
"102634580",1.8293
"102634683",0.8342
"102634783",-0.3175
"102634835",-1.4215
"102634887",-2.1518
"102635020",-0.2508
