"","GSE30577_Rabies_vs_Control"
"100008567",1.20743237328197
"100012",1.40939881456393
"100017",0.61519154222549
"100019",0.976072530143004
"100034251",0.73926064019674
"100034360",1.14298494110631
"100036521",1.5512459807074
"100036523",1.25549450549451
"100036526",0.912373004354136
"100036537",1.62049313793906
"100036538",1.30374227927819
"100036539",0.93969910215967
"100037258",0.870104846187747
"100038384",1.64537995005351
"100038440",1.82324916626965
"100038467",2.69027822193796
"100038489",0.937081018961885
"100038566",1.76910480349345
"100038614",0.609803921568628
"100038725",0.978906409993856
"100038753",1.00504544908501
"100038862",1.27438410310669
"100038882",0.880000720175723
"100039027",1.80781432626482
"100039222",1.44766260162602
"100039225",1.18914074855034
"100039436",1.39056356487549
"100039673",1.74353288987435
"100039681",0.871281237604125
"100039691",0.928808557727776
"100039706",1.80593607305936
"100039727",1.42390643985419
"100039795",1.57970334988664
"100039901",1.50076328236442
"100039957",1.56544353402209
"100039968",1.75668608106502
"100040201",0.904991948470209
"100040214",1.1051857042747
"100040268",1.46522216988538
"100040293",2.11634931057124
"100040328",1.34154501216545
"100040421",1.36810477657935
"100040447",0.869097709209911
"100040529",1.34145496743919
"100040557",1.23186813186813
"100040598",1.17824026375438
"100040710",1.99181739879414
"100040736",1.10504920838682
"100040766",1.41659380161275
"100040843",0.907776117244372
"100040851",0.541753455784889
"100040882",2.50178285995328
"100040972",1.38154205607477
"100041244",1.01554508477307
"100041251",2.35451127819549
"100041311",1.81315173441158
"100041677",0.891998827667058
"100042056",1.44708706087715
"100042165",1.78222063548733
"100042178",2.04170506912442
"100042277",0.897199846566935
"100042408",1.25610807703363
"100042444",1.07829070492826
"100042450",1.32745098039216
"100042480",1.42654238792721
"100042484",1.18308798478774
"100042498",0.807603107726798
"100042584",1.46740785163999
"100042679",1.29752066115702
"100042680",1.85628153070014
"100042786",1.19114922341375
"100042802",0.681078855260449
"100042889",1.22413754308328
"100042940",0.697178080239436
"100043040",1.30916334661355
"100043057",1.68643581404247
"100043074",1.79969329304046
"100043099",1.40885142255005
"100043133",1.32413623711162
"100043147",1.29690571123715
"100043189",0.879698618668899
"100043232",1.2533043992898
"100043251",1.47482332155477
"100043272",1.31584219448297
"100043305",1.41479820627803
"100043315",1.93976575571668
"100043335",0.926821800367422
"100043468",2.7581171950048
"100043489",1.72536328320564
"100043597",1.12414388509026
"100043609",1.11887430797621
"100043636",0.858148005076983
"100043772",1.16043497691047
"100043812",2.17104618899951
"100043817",2.02287428517859
"100043831",1.82626741772902
"100043861",0.866187989556136
"100043902",2.0264483627204
"100043911",1.50724839698913
"100044509",2.05536227499622
"100045066",2.40567823343849
"100048534",1.60921735558768
"100048658",0.579815982499035
"100048917",1.16838208071085
"100049077",1.25454545454545
"100049162",1.44055944055944
"100049165",1.35592405671714
"100049166",0.784111617312073
