"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"26","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","8/76","193/9772",0.000119720286531822,0.000534136662988129,0.000256889683651278,"20846/15945/20293/20304/17329/20306/20296/20302",8
"27","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","6/76","103/9772",0.000142570614731997,0.000606570965861018,0.000291726508081978,"20293/20304/12266/24088/20296/20302",6
"28","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","9/76","254/9772",0.000146413681414729,0.000606570965861018,0.000291726508081978,"12010/14972/20293/20304/15042/21354/21355/20296/20302",9
"29","Human Diseases","Immune disease","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)","4/76","36/9772",0.000164791067388456,0.000638775247819378,0.000307214955847795,"19264/16186/21354/21355",4
"30","Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","5/76","67/9772",0.000165200495125701,0.000638775247819378,0.000307214955847795,"14972/15042/14939/14960/14961",5
"31","Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","8/76","209/9772",0.000207322534010983,0.000775787546621744,0.000373110163075793,"13058/246256/12266/14129/16409/24088/12362/12363",8
"32","Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","5/76","73/9772",0.000247790230201064,0.000898239584478858,0.000432002703968961,"100038882/15945/71586/54123/217069",5
"33","Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","5/76","76/9772",0.000299310090760738,0.00105212031903774,0.000506010679754995,"14972/15042/14939/14960/14961",5
"34","Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","8/76","223/9772",0.000322015964822363,0.00109864270351159,0.000528385329275085,"20846/14972/16391/15042/54123/15894/19106/12266",8
"35","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","6/76","122/9772",0.000358731440147015,0.00118893848734439,0.000571812521136595,"14972/246256/14939/15894/14127/22035",6
"36","Cellular Processes","Cell growth and death","mmu04217","Necroptosis - Mus musculus (house mouse)","7/76","177/9772",0.000433621108685244,0.00136160365725977,0.000654854753491539,"20846/16391/13058/19106/58203/22035/12362",7
"37","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","10/76","359/9772",0.000434304614815615,0.00136160365725977,0.000654854753491539,"23962/20846/14972/100038882/16391/231655/15042/17857/19106/16362",10
"38","Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","8/76","247/9772",0.000636329076834536,0.00194247823454753,0.000934222744383114,"12010/14972/15042/14960/14961/16186/15894/12257",8
"39","Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","5/76","93/9772",0.000759959858643661,0.00225728723602224,0.00108562816251524,"15945/20293/16819/20306/20296",5
"40","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","5/76","94/9772",0.000797834281697517,0.00225728723602224,0.00108562816251524,"14960/14961/14129/16409/12505",5
"41","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","5/76","94/9772",0.000797834281697517,0.00225728723602224,0.00108562816251524,"14972/15042/14960/14961/15894",5
"42","Human Diseases","Immune disease","mmu05310","Asthma - Mus musculus (house mouse)","3/76","25/9772",0.000919364156381377,0.00253919624143428,0.00122121053353917,"14960/14961/14127",3
"43","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","4/76","57/9772",0.000976873132056801,0.00263528565857184,0.00126742413706268,"20293/15894/24088/20296",4
"44","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","6/76","150/9772",0.00106899958906067,0.00281827164388721,0.00135543010096209,"246256/14960/14961/20821/12266/14129",6
"45","Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","5/76","101/9772",0.00110377937053766,0.00284529793294153,0.0013684282254619,"20846/20293/13058/15894/20296",5
"46","Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","4/76","60/9772",0.00118492686785576,0.0029880764493754,0.0014370966589555,"12266/16409/24088/12362",4
"47","Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","4/76","63/9772",0.00142222940976082,0.00351018322409054,0.00168820064316514,"69550/209387/17857/56045",4
"48","Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","5/76","109/9772",0.00155152379267607,0.00374951583230051,0.00180330616254017,"15944/20846/14960/14961/24088",5
"49","Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","5/76","112/9772",0.00174977129055043,0.00414231570824183,0.00199222080341939,"20846/16391/16362/14127/12362",5
"50","Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","7/76","228/9772",0.00191367070530862,0.004439716036316,0.0021352536290812,"14972/16391/15042/54123/19106/20684/12266",7
"51","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","6/76","171/9772",0.00208997368112634,0.00475366562765992,0.00228624571929198,"20846/16391/16186/12983/14580/12702",6
"52","Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","5/76","135/9772",0.00393897721202933,0.00878694916529621,0.00422602818294645,"14939/13040/12983/22035/12364",5
"53","Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","5/76","136/9772",0.00406488725865316,0.00889673437742956,0.00427882869331912,"20846/16391/246256/14129/12702",5
"54","Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation - Mus musculus (house mouse)","4/76","88/9772",0.00481139205090136,0.0103355829241585,0.0049708338927441,"20846/14960/14961/16186",4
"55","Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B - Mus musculus (house mouse)","5/76","164/9772",0.00887982313228359,0.0185074527748585,0.00890104353055807,"20846/71586/54123/12364/24088",5
"56","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)","4/76","105/9772",0.00893463237406961,0.0185074527748585,0.00890104353055807,"20846/14960/14961/16186",4
"57","Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","6/76","252/9772",0.0134583153268778,0.0273888522441723,0.013172496995836,"19264/22035/24088/12362/80837/12363",6
"58","Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway - Mus musculus (house mouse)","3/76","74/9772",0.0197515179101883,0.0395030358203767,0.0189987377357529,"20846/16362/12702",3
"59","Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","4/76","136/9772",0.0212985599280694,0.0418751347738313,0.0201395838748916,"20293/23880/12362/20296",4
"60","Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)","3/76","88/9772",0.030966051195509,0.0598676989779841,0.0287929949712628,"20846/60533/24088",3
"61","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","3/76","94/9772",0.0366059164150958,0.0684884887766308,0.0329391098471999,"12258/12266/16409",3
"62","Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)","3/76","94/9772",0.0366059164150958,0.0684884887766308,0.0329391098471999,"19264/246256/14129",3
"63","Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)","2/76","43/9772",0.0439065442355751,0.0808437957353446,0.0388813173681785,"14960/14961",2
"64","Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome - Mus musculus (house mouse)","2/76","47/9772",0.0515333937674762,0.0934042762035506,0.0449222018038855,"16912/16913",2
"65","Environmental Information Processing","Membrane transport","mmu02010","ABC transporters - Mus musculus (house mouse)","2/76","52/9772",0.0616755468717155,0.110067129801831,0.0529360969101364,"21354/21355",2
"66","Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration - Mus musculus (house mouse)","3/76","119/9772",0.0652829869372267,0.114739795223005,0.0551833860872889,"13058/15894/16409",3
"67","Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia - Mus musculus (house mouse)","2/76","70/9772",0.102864264577908,0.178093353597572,0.0856528833091771,"14129/16409",2
"68","Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","3/76","148/9772",0.107998505345211,0.184232744412418,0.0886055848807455,"20293/15894/20296",3
"69","Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis - Mus musculus (house mouse)","1/76","18/9772",0.131217006218728,0.220596706106847,0.106094604570444,"12642",1
"70","Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","2/76","84/9772",0.13875498035621,0.22993682459029,0.11058667607337,"68713/12517",2
"71","Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","2/76","107/9772",0.202220325142687,0.330376113335733,0.158892323110652,"217069/15894",2
"72","Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","2/76","108/9772",0.205061035863558,0.330376113335733,0.158892323110652,"16409/24088",2
"73","Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","3/76","204/9772",0.211594753529798,0.336232759033652,0.161709040188598,"24088/15163/12505",3
"74","Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway - Mus musculus (house mouse)","2/76","116/9772",0.227932405645421,0.356980135403515,0.171687360947244,"13058/21857",2
"75","Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action - Mus musculus (house mouse)","2/76","117/9772",0.230806122028135,0.356980135403515,0.171687360947244,"20846/12702",2
"76","Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","3/76","226/9772",0.25701937955799,0.39229273722009,0.188670735686613,"14939/14129/16409",3
"77","Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis - Mus musculus (house mouse)","1/76","39/9772",0.262948255059407,0.396129838790794,0.190516165661634,"15894",1
"78","Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","1/76","41/9772",0.274414419292199,0.408103495357629,0.196274820816283,"13058",1
"79","Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus - Mus musculus (house mouse)","1/76","48/9772",0.313176886880998,0.45985466934425,0.221164223913297,"12702",1
"80","Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism - Mus musculus (house mouse)","1/76","50/9772",0.32387150543571,0.469613682881779,0.22585776036964,"12257",1
"81","Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","3/76","270/9772",0.350775265319269,0.499235045462806,0.240103969233473,"14972/15042/16186",3
"82","Human Diseases","Neurodegenerative disease","mmu05020","Prion disease - Mus musculus (house mouse)","3/76","273/9772",0.357189577785302,0.499235045462806,0.240103969233473,"20304/13058/12364",3
"83","Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","2/76","161/9772",0.357211282529421,0.499235045462806,0.240103969233473,"12642/12362",2
