"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","19/76","174/9772",3.3957548555863e-17,3.93907563248011e-15,1.89447376153762e-15,"20846/15945/20293/20304/58185/71586/16391/54123/14960/14961/217069/246728/17857/15894/19106/12702/22035/12362/20296",19
"2","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","17/76","228/9772",1.11865534511356e-12,6.48820100165865e-11,3.12045964689572e-11,"12010/20846/14972/100038882/15945/16391/15042/54123/14960/14961/246728/15894/19106/21354/21355/24088/12505",17
"3","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","22/76","464/9772",3.13281076141973e-12,1.21135349441563e-10,5.82592878439459e-11,"12010/69550/20846/14972/20293/20304/71586/16391/15042/54123/14960/14961/246728/19106/20684/12266/21354/12702/21355/16149/24088/20296",22
"4","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","15/76","216/9772",7.80284976170728e-11,2.26282643089511e-09,1.08829220360654e-09,"55932/14469/15944/20846/229900/20293/20304/16391/13058/54123/246728/12364/12362/12363/20296",15
"5","Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","13/76","183/9772",1.24076783040913e-09,2.87858136654918e-08,1.3844356844565e-08,"14972/13058/246256/15042/14960/14961/13040/12266/21354/14129/16409/21355/24088",13
"6","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","9/76","70/9772",2.84504233052229e-09,5.5004151723431e-08,2.64539023715231e-08,"20846/13058/246256/14960/14961/12266/14129/16409/24088",9
"7","Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","9/76","87/9772",2.01915179383276e-08,3.34602297263715e-07,1.60924879809228e-07,"12010/14972/15042/14960/14961/13040/21354/21355/16149",9
"8","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","9/76","95/9772",4.40132754684613e-08,6.38192494292689e-07,3.06934684187954e-07,"15945/20293/20304/17329/16186/22035/20306/20296/20302",9
"9","Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","11/76","180/9772",1.23578722585628e-07,1.59279242443699e-06,7.66043543513251e-07,"20846/246256/14960/14961/13040/14127/12266/14129/16409/16149/24088",11
"10","Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","14/76","334/9772",2.28218922700663e-07,2.64733950332769e-06,1.27322135822475e-06,"20846/100038882/15945/20293/71586/16391/13058/246728/17857/19106/12266/24088/12362/20296",14
"11","Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","8/76","87/9772",3.27987227149548e-07,3.45877439539523e-06,1.66347588889244e-06,"20293/20304/14960/14961/15894/24088/20296/20302",8
"12","Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","10/76","167/9772",5.86329544832764e-07,5.66785226671672e-06,2.72591805931022e-06,"15957/20846/15945/58185/16391/54123/246728/17857/19106/12702",10
"13","Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway - Mus musculus (house mouse)","8/76","104/9772",1.30080833199469e-06,1.1607212808568e-05,5.58241632353995e-06,"20846/15945/20304/16391/54123/17329/24088/20302",8
"14","Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","9/76","145/9772",1.6641045598071e-06,1.3788294924116e-05,6.63139411050951e-06,"20846/71586/16391/54123/246728/17857/16186/19106/24088",9
"15","Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","10/76","217/9772",6.29075978933327e-06,4.86485423708439e-05,2.33972118480465e-05,"20293/20304/13058/54123/15894/22035/24088/12362/20296/20302",10
"16","Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","6/76","77/9772",2.77314213516326e-05,0.000201052804799336,9.66950876076663e-05,"16362/12258/15900/12266/16409/12362",6
"17","Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","7/76","118/9772",3.43874058484596e-05,0.000234643475201254,0.000112850310214759,"15945/20293/20304/15894/16362/12702/20296",7
"18","Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","6/76","82/9772",3.97177043029557e-05,0.00025595853884127,0.0001231016566115,"15945/20304/54123/56045/58203/12362",6
"19","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","7/76","128/9772",5.79523238681338e-05,0.000353814187826501,0.000170164718283163,"246256/14960/14961/15894/12266/14129/16409",7
"20","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","8/76","179/9772",7.06733389086172e-05,0.00040990536566998,0.00019714141906088,"14972/19264/60533/15042/14960/14961/15894/16409",8
"21","Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","10/76","294/9772",8.58727099551544e-05,0.000474344493085615,0.000228133013915949,"15945/20293/20304/17329/16186/12983/22035/20306/20296/20302",10
"22","Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","5/76","60/9772",9.7459311813658e-05,0.000474492123587307,0.000228204015881373,"14972/15042/14939/14960/14961",5
"23","Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","5/76","60/9772",9.7459311813658e-05,0.000474492123587307,0.000228204015881373,"14972/15042/14939/14960/14961",5
"24","Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","9/76","241/9772",9.81707841904774e-05,0.000474492123587307,0.000228204015881373,"12010/69550/14972/209387/15042/56045/21354/21355/24088",9
"25","Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease - Mus musculus (house mouse)","5/76","62/9772",0.000114085884208505,0.000529358502727461,0.00025459165739161,"20846/14960/14961/16186/24088",5
