"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"41","Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","3/35","223/9771",0.0449399195549866,0.0789188831209521,0.0357673300694374,"20846/14972/54123",3
"42","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)","2/35","105/9771",0.054094099012215,0.0927327411637972,0.0420279967262824,"20846/16186",2
"43","Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","3/35","247/9771",0.0577206510029277,0.0945865849708451,0.0428681890949737,"12010/14972/16186",3
"44","Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","2/35","109/9771",0.0578029130377387,0.0945865849708451,0.0428681890949737,"15944/20846",2
"45","Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","2/35","112/9771",0.0606417866840755,0.0970268586945208,0.0439741611042419,"20846/16362",2
"46","Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis - Mus musculus (house mouse)","1/35","18/9771",0.0626032171856041,0.0979876442905108,0.0444096048685064,"12642",1
"47","Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","2/35","136/9771",0.0849628378047215,0.127444256707082,0.0577598239461922,"20846/246256",2
"48","Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","2/35","136/9771",0.0849628378047215,0.127444256707082,0.0577598239461922,"20293/20296",2
"49","Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","2/35","148/9771",0.0980725485238601,0.144106601912611,0.0653114716270605,"20293/20296",2
"50","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","2/35","171/9771",0.12464656020153,0.179491046690202,0.0813482813946824,"20846/16186",2
"51","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","2/35","179/9771",0.134269749697324,0.187594300998755,0.0850208089321841,"14972/60533",2
"52","Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","2/35","180/9771",0.135484772943545,0.187594300998755,0.0850208089321841,"20846/246256",2
"53","Environmental Information Processing","Membrane transport","mmu02010","ABC transporters - Mus musculus (house mouse)","1/35","52/9771",0.170630464757175,0.228956144407828,0.103766673635127,"21354",1
"54","Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","2/35","209/9771",0.171717108305871,0.228956144407828,0.103766673635127,"246256/12363",2
