"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"31","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","5/76","53/4960",0.00119610783166128,0.00451434246143127,0.0024775068839164,"14972/15042/14960/14961/15894",5
"32","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","6/76","80/4960",0.00129745624428772,0.00464297081607994,0.00254809914332772,"14972/246256/14939/15894/14127/22035",6
"33","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","9/76","176/4960",0.0013337469868324,0.00464297081607994,0.00254809914332772,"12010/14972/20293/20304/15042/21354/21355/20296/20302",9
"34","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","8/76","142/4960",0.00134923938245058,0.00464297081607994,0.00254809914332772,"20846/15945/20293/20304/17329/20306/20296/20302",8
"35","Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","8/76","145/4960",0.00154372160140672,0.005131196681865,0.00281604136386653,"20846/14972/16391/15042/54123/15894/19106/12266",8
"36","Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","10/76","217/4960",0.00157882974826615,0.005131196681865,0.00281604136386653,"15945/20293/20304/17329/16186/12983/22035/20306/20296/20302",10
"37","Human Diseases","Immune disease","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)","4/76","34/4960",0.00166632429334886,0.00526918763031938,0.00289177188888423,"19264/16186/21354/21355",4
"38","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","6/76","85/4960",0.00177763560750997,0.00547324647575438,0.00300376099883956,"20293/20304/12266/24088/20296/20302",6
"39","Human Diseases","Immune disease","mmu05310","Asthma - Mus musculus (house mouse)","3/76","21/4960",0.00377047639820376,0.0113114291946113,0.00620780189717758,"14960/14961/14127",3
"40","Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","7/76","135/4960",0.00433380359672125,0.0124010167484247,0.00680577617322451,"14972/16391/15042/54123/19106/20684/12266",7
"41","Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","4/76","44/4960",0.00434565544175565,0.0124010167484247,0.00680577617322451,"69550/209387/17857/56045",4
"42","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","10/76","250/4960",0.00445187689492917,0.0124016570644455,0.0068061275837263,"23962/20846/14972/100038882/16391/231655/15042/17857/19106/16362",10
"43","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","4/76","45/4960",0.0047149737865898,0.0128291147216513,0.00704071973028097,"20293/15894/24088/20296",4
"44","Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","8/76","181/4960",0.00608873786908795,0.0161060727337365,0.00883914023174022,"12010/14972/15042/14960/14961/16186/15894/12257",8
"45","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","5/76","77/4960",0.00619464335912941,0.0161060727337365,0.00883914023174022,"14960/14961/14129/16409/12505",5
"46","Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","5/76","78/4960",0.00654111640355423,0.0166371873742575,0.00913062015141437,"15945/20293/16819/20306/20296",5
"47","Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","4/76","50/4960",0.0068803130260022,0.01712758774558,0.00939975575780816,"12266/16409/24088/12362",4
"48","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","6/76","118/4960",0.00899978698258663,0.0219369807700549,0.0120391887267058,"20846/16391/16186/12983/14580/12702",6
"49","Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","5/76","87/4960",0.0102941504900213,0.0245799103537243,0.0134896494069023,"20846/20293/13058/15894/20296",5
"50","Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","5/76","91/4960",0.0123592456683054,0.0289206348638347,0.0158718733845606,"15944/20846/14960/14961/24088",5
"51","Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","5/76","95/4960",0.0146900281948747,0.0337006529176538,0.018495185136994,"20846/16391/16362/14127/12362",5
