"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100039265",3.5841,-1.8455
"100039355",0.21245,-0.3353
"100039359",-0.2679,-0.7407
"100039596",0.5907,-1.2942
"100039641",1.2179,-0.9864
"100039672",1.0458,-1.6338
"100039681",-2.9221,-0.5971
"100039691",13.3671,7.4948
"100039781",4.7601,0.6486
"100039795",-2.5403,-6.6737
"100039801",-1.3157,-4.6666
"100039901",4.1072,0.0911
"100039946",-0.2555,0.2875
"100039968",-3.4855,0.6078
"100040049",0.376,-2.1133
"100040201",-0.3458,0.4463
"100040214",1.4942,1.7354
"100040249",1.8253,0.2392
"100040268",0.7395,2.4166
"100040322",-0.9531,-0.7916
"100040447",3.3984,0.4807
"100040591",-8.1492,-12.1716
"100040608",-1.3817,1.8782
"100040766",-0.7164,-3.8011
"100040822",1.644,1.1823
"100040846",-0.3113,-0.7945
"100040851",3.1697,0.9001
"100040882",1.4681,-3.3591
"100040999",1.2443,-1.0912
"100041085",3.169,0.0905
"100041194",-0.71245,-1.14525
"100041413",0.7367,2.1263
"100041480",1.2753,3.9343
"100041581",-10.4495,-5.6133
"100041585",0.5743,0.2948
"100042056",-1.6753,-0.6068
"100042150",-5.0142,0.9746
"100042165",3.1831,2.00965
"100042332",-2.2278,-1.9375
"100042416",0.6234,-0.0212
"100042444",0.113,2.6175
"100042605",1.4948,-1.0928
"100042636",-2.1922,1.8044
"100042679",-0.8776,-1.6675
"100042784",-5.3994,-2.2432
"100042785",0.8305,-0.2006
"100042814",2.6082,1.0585
"100042855",1.8257,-1.9806
"100042891",-3.6469,1.2749
"100042948",0.0221,-0.638
"100043040",-1.7028,-1.4714
"100043057",0.9117,-0.496
"100043065",1.1162,-0.1404
"100043133",3.0617,0.9229
"100043254",0.433,0.2864
"100043270",-0.88802,-0.62512
"100043272",-0.091,-2.9538
"100043314",6.943,3.4821
"100043315",2.836,-0.2983
"100043335",3.1036,-1.2669
"100043424",2.00115,1.1231
"100043580",-0.2296,-4.2986
"100043582",-0.8841,-1.1565
"100043609",2.2676,-1.0926
"100043682",-0.4947,-1.8186
"100043757",-5.6707,-1.1334
"100043772",1.2752,2.9683
"100043861",1.698,0.2018
"100043899",0.3828,1.6332
"100043902",-0.3176,-0.8266
"100043911",-3.0095,-0.8724
"100045778",2.3924,0.5414
"100045792",1.95486153846154,2.45126153846154
"100048534",-1.26418,-1.5984
"100048658",4.4001,0.2582
"100048894",0.0915,-0.4683
"100048895",0.4225,-4.1398
"100048897",1.653,-0.1946
"100048917",-0.95485,0.41265
"100048926",1.6894,-2.3473
"100049077",-1.2118,-2.8912
"100049162",1.4084,-1.9363
"100049165",0.8628,-0.1104
"100049166",0.1623,0.433
"100049168",0.3568,-1.2964
"100049549",3.1957,0.2859
"100049562",-0.0422,0.1275
"100049566",-0.1152,-3.1102
"100049568",9.8593,4.1112
"100061",4.7322,-1.8694
"100066",-0.0665,1.5309
"100072",-6.223525,-4.833075
"100087",6.0835,7.1658
"100088",2.2155,1.9723
"100090",8.0472,5.3094
"100093700",-1.3703,0.5501
"100101457",4.0687,-1.2337
"100101919",-1.4972,-2.3754
"100102",-0.4567,-2.8803
"100121",11.6249,13.6561
"100124452",0.6618,-1.6689
"100124467",-7.6615,-3.5896
"100124468",1.6967,-0.1784
"100124470",0.782,-1.026
"100124476",-2.2751,-0.3202
"100124481",-0.4608,-2.3176
"100124494",-7.0924,-1.8181
"100125339",0.8227,-0.8124
"100125931",-1.8457,-0.2803
"100126034",-11.4842,-6.6764
"100126244",0.1158,-2.4049
"100126357",0.104,0.0137
"100126795",4.8416,1.7987
"100126875",1.5781,0.4903
"100126880",0.723,-3.5572
"100127111",-1.6586,-2.3583
"100129",-6.3562,-4.8675
"100134986",0.0122,-0.7742
"100134990",-4.8394,0.6532
"100137011",-1.0788,-5.8536
"100141474",1.1644,0.1398
"100151693",-1.803,-2.0318
"100155",1.9357,1.0124
"100163",-3.3717,-5.6488
"100165",0.2208,0.6794
"100169",5.8423,3.4556
"100174921",-1.5849,-1.6641
"100177",-4.0837,-1.5863
"100182",13.9268,4.6629
"100191037",-0.3566,-2.7408
"100198",0.7624,1.5012
"100201",-12.331,-8.0031
"100206",6.3495,5.3961
"100210",5.7539,2.4834
"100213",-0.1338,1.1534
"100216530",4.7105,-0.1435
"100216533",10.4295,1.6832
"100216534",-1.9906,-2.3149
"100216537",4.3562,-1.3186
"100216540",-3.1607,-0.96095
"100217416",1.1156,-1.568975
"100217418",-0.6111,-2.82983333333333
"100217419",1.6301,-4.2729
"100217424",0.1312,1.3053
"100217426",3.3657,-3.2354
"100217427",2.4497,1.225
"100217428",-0.4156,-3.7306
"100217440",1.8637,-0.798166666666667
"100217442",-1.7147,-1.8942
"100217445",-0.8109,-3.2352
"100217446",0.0953,-1.2018
"100217448",-1.3395,-1.8156
"100217451",0.88125,0.30005
"100217453",3.07725,-2.3496
"100217454",1.0372,-0.0658
"100217455",3.1751,3.0195
"100217456",3.0383,1.0076
"100217457",-0.5203,0.93865
"100217460",1.3312,2.585
"100217464",3.0139,0.57555
"100217466",0.2329,-1.3654
"100217467",-4.0183,-4.3317
"100226",-1.0935,-0.8369
"100233207",1.8776,-0.2207
"100233208",-0.9155,0.6812
"100270707",0.5851,-3.7708
"100273",3.5001,2.4875
"100294583",0.0401,-1.6136
"100302498",-2.74295,-2.7504
"100302499",1.88205,-1.92515
"100302565",-0.7067,-0.1086
"100302592",1.3517,-1.1747
"100302594",0.349,-4.3027
"100302730",1.2747,1.7667
"100303731",-1.8396,-7.3028
"100303733",-3.6476,-5.2257
"100303738",1.2931,-3.9907
"100303740",4.27455,2.89345
"100303741",-4.9885,-3.2836
"100303746",1.0785,-1.8765
"100303747",-2.3579,-2.9704
"100303751",0.6624,-1.1988
"100306874",1.8148,-1.8844
